# SHA-256 is over the raw file content at commit 08aad83f0c5cef1317d74a31519ae3190d726504.
# disposition	component	upstream_path	destination_hint	rationale
ba9cc3a7e074c5cfe3985d6956f24c9f7575592a0483e314c9fcb4f72ee1b615	notice	meta	LICENSE	src-tauri/vendor/anarlog/LICENSE	Preserved verbatim; required for every copy or substantial portion.
0201711d0cad8e9fb9770805cd713b2d4298f2b3fb2356b8761b614d5b6f8971	legal-hold	local-stt	crates/transcribe-soniqo/swift-lib/Package.swift	-	Pins speech-swift 0.0.22; record Apache notice plus all transitive/model terms.
96ca383b66293480cf91a38fc85b5dbb420d1a38309d8e5d6da2252956e1850f	legal-hold	local-stt	crates/transcribe-soniqo/swift-lib/Package.resolved	-	Exact Swift dependency graph for legal/supply-chain review.
9d1e164e7b1f5fafa760109b359d222b3ab1d9b63a7baae04ba33fc0be5048e7	reference	local-stt	crates/transcribe-speechanalyzer/Cargo.toml	-	Optional macOS 26 backend only.
187f55b17af4360602eafa9d1c95ff7f742a2bbba2c7068f1f777240b8481534	reference	local-stt	crates/transcribe-speechanalyzer/src/lib.rs	-	Availability/assets/locale behavior; not baseline due macOS 26 requirement.
5890e0c0cdda4b617e9447fa260d71ec3d859869da04fc1e5bf0ce2a4f904b57	reject	local-stt	crates/whisper-local/Cargo.toml	-	Disabled legacy path with pinned Codeberg whisper-rs fork.
85ebd676b4554f919f5879920f38ade45c1992660b02c95aacca6e6ceee4bab5	reference	local-stt	crates/whisper-local/src/lib.rs	-	Behavior evidence only; select and pin a maintained backend independently.
7f535931100a69d72dc7fcbff8ede82dbb96954b60d2e111ab9e73a93ee0c450	reject	local-stt	crates/transcribe-whisper-local/Cargo.toml	-	Disabled legacy service and dependency closure.
e361e36859d5492f19d75d8093dfb77316f8a26b39f8f4cd446bfddc27b49b3e	reference	local-stt	crates/transcribe-whisper-local/src/lib.rs	-	Streaming/batch separation evidence only.

5b634b3f2cb242aba3542b06e5d45c7720cf753d16301e90d117523a1fff6828	reference	storage	crates/db-app/migrations/20260710223922_canonical_data_model.sql	-	Domain checklist only; Anarlog schema is tied to CloudSync/E2EE and lacks Mimir job journal.
a913ac5ae042063f1da75ccda0e9974b78c95d6ea133b70c0ee78d4abdcee115	reference	settings	apps/desktop/src/settings/schema.ts	-	Retention/detection/provider settings checklist; do not copy React state schema.
e51c322d7ae98febdb7dee3fc520103513ef7c523ca5689209a413ad0b1ded0a	reference	product-docs	docs/automatic-capture.mdx	-	Confirms mic detection is a reminder, not auto-record; consent/control behavior input.
f67338f292c985897ef483c16561e6a9b0fed5fd1ec3569087767f1102d40e84	reference	product-docs	docs/data-and-privacy.mdx	-	Provider disclosure, local/cloud boundary, retention, and recording-consent checklist.
c52c54ca28447225a756bec6d48d39a96e7d78f567d9fae6a2859cc412f8d6de	reference	product-docs	docs/offline.mdx	-	Offline capability and predownload/test expectations.
